"table_name","query_count","matched_query_count","ratio_7d","ratio_15d","ratio_30d","ratio_60d","ratio_90d","p50_days","p80_days","p90_days","p95_days","p99_days"
"__ALL__",1324060,1301430,0.98,0.98,0.98,0.98,0.98,1,1,1,1,2
"endpoint_behavior_log",70172,70096,0.99,0.99,0.99,0.99,0.99,2,2,2,2,2
"network_security_log",56403,47166,0.78,0.79,0.83,0.83,0.83,1,1,1,2,29
"http_log",44939,44832,0.99,0.99,0.99,0.99,0.99,1,1,1,1,1
"endpoint_security_log",42362,42304,0.98,0.98,0.99,0.99,0.99,1,1,1,1,29
"dns_log",41284,41221,0.99,0.99,0.99,0.99,0.99,1,1,1,1,1
"ioa_log",30481,28467,0.93,0.93,0.93,0.93,0.93,1,1,1,1,1
"tcp_log",29244,29183,0.99,0.99,0.99,0.99,0.99,1,1,1,1,1
"icmp_log",29178,29117,0.99,0.99,0.99,0.99,0.99,1,1,1,1,1
"http_login_log",28749,28674,0.99,0.99,0.99,0.99,0.99,1,1,1,1,1
"oracle_log",28576,28514,0.99,0.99,0.99,0.99,0.99,1,1,1,1,1
"redis_log",28569,28493,0.99,0.99,0.99,0.99,0.99,1,1,1,1,1
"ntlm_log",28568,28493,0.99,0.99,0.99,0.99,0.99,1,1,1,1,1
"pop3_login_log",28563,28502,0.99,0.99,0.99,0.99,0.99,1,1,1,1,1
"ftp_login_log",28554,28493,0.99,0.99,0.99,0.99,0.99,1,1,1,1,1
"pgsql_login_log",28554,28493,0.99,0.99,0.99,0.99,0.99,1,1,1,1,1
"sql_server_log",28554,28499,0.99,0.99,0.99,0.99,0.99,1,1,1,1,1
"ssh_log",28548,28487,0.99,0.99,0.99,0.99,0.99,1,1,1,1,1
"ftp_log",28548,28487,0.99,0.99,0.99,0.99,0.99,1,1,1,1,1
"pgsql_cmd_log",28548,28487,0.99,0.99,0.99,0.99,0.99,1,1,1,1,1
"smtp_login_log",28548,28487,0.99,0.99,0.99,0.99,0.99,1,1,1,1,1
"smb_log",28548,28487,0.99,0.99,0.99,0.99,0.99,1,1,1,1,1
"imap_login_log",28548,28487,0.99,0.99,0.99,0.99,0.99,1,1,1,1,1
"mysql_log",28548,28487,0.99,0.99,0.99,0.99,0.99,1,1,1,1,1
"snmp_log",28548,28487,0.99,0.99,0.99,0.99,0.99,1,1,1,1,1
"mongo_log",28548,28487,0.99,0.99,0.99,0.99,0.99,1,1,1,1,1
"rdp_log",28548,28487,0.99,0.99,0.99,0.99,0.99,1,1,1,1,1
"imap_log",28542,28481,0.99,0.99,0.99,0.99,0.99,1,1,1,1,1
"smtp_log",28542,28481,0.99,0.99,0.99,0.99,0.99,1,1,1,1,1
"pop3_log",28542,28481,0.99,0.99,0.99,0.99,0.99,1,1,1,1,1
"dce_rpc_log",28542,28481,0.99,0.99,0.99,0.99,0.99,1,1,1,1,1
"acl_log",28539,28481,0.99,0.99,0.99,0.99,0.99,1,1,1,1,1
"telnet_login_log",28539,28493,0.99,0.99,0.99,0.99,0.99,1,1,1,1,1
"operation_log",28539,28481,0.99,0.99,0.99,0.99,0.99,1,1,1,1,1
"ldap_log",28533,28487,0.99,0.99,0.99,0.99,0.99,1,1,1,1,1
"db2_log",28524,28493,0.99,0.99,0.99,0.99,0.99,1,1,1,1,1
"sas_log",28512,28481,0.99,0.99,0.99,0.99,0.99,1,1,1,1,1
"nat_session_log",28512,28481,0.99,0.99,0.99,0.99,0.99,1,1,1,1,1
"sybase_log",28512,28481,0.99,0.99,0.99,0.99,0.99,1,1,1,1,1
"nat_config_log",28512,28481,0.99,0.99,0.99,0.99,0.99,1,1,1,1,1
"vpn_log",28512,28481,0.99,0.99,0.99,0.99,0.99,1,1,1,1,1
"other_log",28498,28467,0.99,0.99,0.99,0.99,0.99,1,1,1,1,1
"vsphere_log",28481,28481,1,1,1,1,1,1,1,1,1,1
"alert_relation_log",9185,207,0.02,0.02,0.02,0.02,0.02,0,0,0,0,1
"ztna_access_log",99,41,0.41,0.41,0.41,0.41,0.41,0,1,1,1,1
"ztna_user_log",69,41,0.59,0.59,0.59,0.59,0.59,1,1,1,1,1
"file_log",28,0,0,0,0,0,0,0,0,0,0,0
"dynamic_graph_log",28,0,0,0,0,0,0,0,0,0,0,0
"ztna_user_security_log",28,0,0,0,0,0,0,0,0,0,0,0
"kerberos_log",6,6,1,1,1,1,1,1,1,1,1,1
"telnet_command_log",6,6,1,1,1,1,1,1,1,1,1,1
